"Ligand","Analyte","Block","Well","ROI","Fitting#","Rmax 1","Rmax 1 StdErr","Rmax 2","Rmax 2 StdErr","Rmax 3","Rmax 3 StdErr","Rmax 4","Rmax 4 StdErr","Rmax 5","Rmax 5 StdErr","Rmax Global","Rmax Global StdErr","ka","ka StdErr","kd","kd StdErr","KD","KD StdErr"
"CH31 10µg/ml","AE.A244","1","A1",1,1,162.58185902679713,4.195444178430783,167.70251672361397,3.282436541039425,174.91873501153648,2.512620066691819,191.0238019201212,1.7250441291336907,214.10560297005543,0.9207417120250183,"NA","NA",5161.17784918819,123.2336649353963,0.0000737342131097028,1.3789652983083318e-6,1.4286315113380675e-8,4.3329522729679474e-10
"CH31 10µg/ml","AE.A244","2","A1",2,1,326.10078361292506,16.533994146991397,314.2802909311588,14.407856380260506,291.50261522624004,11.569656273233882,263.2098475669249,7.938686086237803,244.74186776853443,4.5590374644916976,"NA","NA",2171.8068477341353,111.39117021281777,0.00006841421855533206,1.2971370442202e-6,3.15010603390947e-8,1.722537688037995e-9
"CH31 10µg/ml","AE.A244","3","A1",3,1,166.23638266309877,4.299433626185478,168.66298375242383,3.2361188737273396,171.90086993758453,2.284208046003632,195.9810427408962,1.5914630478132932,224.60347820596138,0.7894189342320773,"NA","NA",6137.016386012359,152.90344608837043,0.0000648421575494745,1.5318639070675394e-6,1.0565746198309713e-8,3.6277176989565613e-10
"CH31 10µg/ml","AE.A244","4","A1",4,1,141.08301889424285,3.284503127652418,164.87782479870705,2.684586033534376,177.39495276921866,2.014408915951335,200.9323152225778,1.3902958866162025,228.6958619881229,0.6876244719121051,"NA","NA",6144.904117320058,137.83983547793346,0.00006387632281199633,1.289070716401917e-6,1.0395007243799656e-8,3.1365322443637174e-10
"CH31 10µg/ml","AE.A244","1","A5",17,1,215.8632053719491,6.647343033491887,221.0780881207775,5.489818913702604,219.62258152349764,4.201904835175618,227.93994023473144,2.8608332302913153,246.93872481061203,1.5964253006845885,"NA","NA",4070.3075529705843,117.87805727612654,0.000051407232468835574,1.3685793142372118e-6,1.262981526575741e-8,4.96828227696674e-10
"CH31 10µg/ml","AE.A244","2","A5",18,1,158.81728140444542,3.7407668339648352,165.1207996353737,2.890415898773406,175.51188429787211,2.2399436332486244,194.33393342503646,1.5314454898060492,224.73841225775166,0.833714134187714,"NA","NA",5500.421690642164,110.77840263204618,0.00007777227079037736,1.377469550447064e-6,1.4139328794134253e-8,3.7921850995625315e-10
"CH31 10µg/ml","AE.A244","3","A5",19,1,327.15892748029717,11.539663204185835,323.777592721763,10.176669313112825,296.8809609014937,7.917178348332698,271.6486939466245,5.310254194471925,263.46448315325347,3.026062413928463,"NA","NA",2608.328976520557,90.27570707648212,0.000055280629710133795,1.132020098565445e-6,2.1193887047130354e-8,8.523069713194456e-10
"CH31 10µg/ml","AE.A244","4","A5",20,1,241.55724443016274,6.269138260799313,235.25439032664625,5.120679436501303,229.18081408525842,3.9861587051171425,228.5369038766405,2.686675623775093,242.00864543617018,1.5026505542986985,"NA","NA",3712.9047844621005,90.71525200056612,0.00005987400289908048,1.1388999542680631e-6,1.6125919293606288e-8,4.993218062368896e-10
"CH31 10µg/ml","AE.A244","1","A9",33,1,128.45893422981004,2.8112518539325695,132.37408841411576,2.077871704576983,142.97544183337777,1.5676939512984875,164.93533289158444,1.068450496363825,198.3899557479062,0.5787568135755173,"NA","NA",6531.252929995225,116.15474763121188,0.00010061051840648172,1.477873102163058e-6,1.5404474376489243e-8,3.5532447437332373e-10
"CH31 10µg/ml","AE.A244","2","A9",34,1,198.71081819953702,4.352417006296287,189.05392597117412,3.3461719270317123,186.88195415777577,2.517936639684078,196.89867665357795,1.6989044257936452,217.58599423245096,0.8996806744663749,"NA","NA",4755.95708470292,95.38549105516287,0.000060209411581109905,1.1902459700467852e-6,1.2659788662679001e-8,3.5651061286849814e-10
"CH31 10µg/ml","AE.A244","3","A9",35,1,116.67889194401114,2.66635746014115,125.3524538186933,1.9600067141396136,139.34575837645767,1.4823239630530196,163.89749639525812,1.0095898944926938,199.7660495120852,0.5456805567943944,"NA","NA",7026.8013427366695,126.23687456406125,0.00010227182707821143,1.5665095693493598e-6,1.4554535141928529e-8,3.4360951625478023e-10
"CH31 10µg/ml","AE.A244","4","A9",36,1,169.16302398601556,3.442278317254387,169.68984937974537,2.662321175032285,173.5922219640573,2.0078679508387913,189.50653440440428,1.364685558928285,215.49472771326336,0.729517065984521,"NA","NA",5292.593541731292,94.69409390002821,0.00006676611702377422,1.1789769021813234e-6,1.2615009351716428e-8,3.1711959243061157e-10
